Pergunta,A,B,C,D,Correta,Comentario,Nivel
"[Português] Assinale a alternativa que preenche corretamente: ""O recruta obedeceu ____ ordens do sargento.""",as,às,a,ah,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 57)",Fácil
[Português] Assinale a frase com emprego CORRETO da crase:,Cheguei à Belo Horizonte pela manhã.,Cheguei à cidade de Belo Horizonte pela manhã.,Fomos à Brasília para o desfile.,Vamos à qualquer unidade que precisar. 13,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 58)",Médio
"[Português] Assinale a alternativa em que a regência nominal está CORRETA: ""O policial é obediente ____ ordens superiores.""",de,a,com,em,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 59)",Difícil
"[Português] Na  frase  ""O  policial  agiu  prontamente  durante  a  ocorrência"",  a  palavra  ""prontamente""  classifica-se morfologicamente como:",Adjetivo.,Advérbio.,Substantivo abstrato.,Conjunção.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 60)",Fácil
"[Português] Em ""É necessário que os policiais compareçam à formatura"", a oração destacada exerce a função de:",Sujeito da oração principal.,Objeto direto.,Predicativo do sujeito.,Complemento nominal.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 61)",Médio
[Português] Assinale a frase em que a oração adjetiva é EXPLICATIVA (por isso separada por vírgulas):,Os soldados que se destacaram no curso foram promovidos.,"Os soldados, que se destacaram no curso, foram promovidos.","Os soldados que se destacaram, no curso, foram promovidos.","Os soldados, que se destacaram no curso foram promovidos.",B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 62)",Difícil
"[Português] Em ""O Brasil torceu pela seleção durante toda a copa"", a figura de linguagem presente é:",Metáfora.,Metonímia.,Hipérbole.,Eufemismo.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 63)",Fácil
"[Português] Em ""O soldado, infelizmente, veio a óbito durante a operação"", o termo destacado é um exemplo de:",Hipérbole.,Eufemismo.,Ironia.,Antítese. 14,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 64)",Médio
"[Português] Em ""Na guerra, uns choram, outros vendem lenços"", identifica-se a figura de:",Antítese.,Prosopopeia.,Catacrese.,Sinestesia.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 65)",Difícil
"[Português] Em ""Aquele instrutor é uma fera na sala de aula"", a palavra ""fera"" está empregada em sentido:",Denotativo.,Conotativo.,Ambíguo.,Literal.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 66)",Fácil
[Português] Assinale a frase que apresenta ambiguidade:,O comandante do batalhão elogiou o soldado em sua sala.,O comandante elogiou o soldado na formatura.,O soldado foi elogiado pelo comandante.,"Na formatura, o comandante elogiou o soldado.",A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 67)",Médio
"[Português] Em ""Os recrutas concluíram o curso; estes seguirão para suas unidades"", o termo ""estes"" retoma:","""o curso"".","""os recrutas"".","""suas unidades"".",Nenhum termo anterior.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 68)",Difícil
"[Português] Assinale a construção CORRETA quanto à regência do verbo ""informar"":",Informei o sargento do ocorrido.,Informei o sargento sobre do ocorrido.,Informei o sargento à respeito do ocorrido.,Informei-lhe do ocorrido ele.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 69)",Fácil
[Português] Assinale a frase com concordância verbal CORRETA:,Haviam muitos candidatos inscritos no concurso.,Havia muitos candidatos inscritos no concurso.,Houveram muitas provas difíceis.,Devem haver soluções para o problema. 15,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 70)",Médio
"[Português] Assinale a alternativa que preenche corretamente: ""____ dois anos que ele ingressou na corporação.""",Fazem,Faz,Fazeram,Façam,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 71)",Difícil
"[Português] Assinale a frase em que o verbo ""implicar"", no sentido de ""acarretar"", está empregado conforme a norma culta:",A infração implica em punição disciplinar.,A infração implica punição disciplinar.,A infração implica de punição disciplinar.,A infração implica à punição disciplinar.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 72)",Fácil
[Português] Assinale a frase em que o emprego da mesóclise está CORRETO:,Dar-se-á início à operação às seis horas.,Não dar-se-á início à operação.,Já dar-se-á início à operação.,Sempre dar-se-á início à operação.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 73)",Médio
[Português] Assinale a alternativa CORRETA quanto ao emprego do acento indicativo de crase:,Ele é fiel à corporação.,Ele é fiel a corporação.,Ele é fiel à ela.,Ele é fiel à instituições.,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 74)",Difícil
"[Português] Em ""o respeito às autoridades é fundamental"", o termo destacado exerce função de:",Adjunto adnominal.,Complemento nominal.,Aposto.,Predicativo.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 75)",Fácil
"[Português] Classifique a oração destacada em ""Chegou atrasado porque o trânsito estava intenso"":",Subordinada adverbial causal.,Subordinada adverbial condicional.,Subordinada substantiva.,Coordenada explicativa. 16,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 76)",Médio
"[Português] Em ""O recruta feriu-se durante o treinamento"", a voz verbal é:",Ativa.,Passiva analítica.,Reflexiva.,Passiva sintética.,C,"Gabarito Oficial: Letra C. (Fonte: Volume 2, Questão 77)",Difícil
[Português] Assinale o emprego adequado do ponto e vírgula:,O sargento gritou; corram!,"Na primeira equipe, seguiram três soldados; na segunda, dois oficiais.",Ele correu; e chegou atrasado.,Comprou farda; botina; e coturno.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 78)",Fácil
"[Português] Em ""Ele é a cabeça do grupo"" e ""Bateu a cabeça na porta"", a palavra ""cabeça"" exemplifica o fenômeno de:",Homonímia.,Polissemia.,Sinonímia.,Antonímia.,B,"Gabarito Oficial: Letra B. (Fonte: Volume 2, Questão 79)",Médio
[Português] Assinale a alternativa que contém dígrafo consonantal:,carro,caixa,quilo,táxi 17,A,"Gabarito Oficial: Letra A. (Fonte: Volume 2, Questão 80)",Difícil
